customer_id,company,tenure_months,contract,monthly_charges,total_charges,mrr,payment_method,internet_service,tech_support,online_security,logins_last_30d,support_tickets_last_90d,features_used_pct,churned
CUST-0001,Pixel Labs,11,Two year,45.24,536.27,183,Bank transfer,Fiber optic,Yes,Yes,19,3,41.0,0
CUST-0002,NovaTech,72,One year,76.79,5499.62,332,Bank transfer,Fiber optic,No,No,20,1,30.0,0
CUST-0003,Pixel Labs,31,Month-to-month,112.05,3644.84,549,Credit card,DSL,Yes,No,16,1,56.0,0
CUST-0004,Skyward Tech,21,Month-to-month,98.64,2197.66,352,Bank transfer,Fiber optic,No,No internet,14,2,68.0,0
CUST-0005,Vortex Cloud,4,Two year,104.83,439.15,298,Credit card,No,No,No,9,3,52.0,0
CUST-0006,Apex Digital,4,Month-to-month,52.22,226.65,116,Bank transfer,No,No,No internet,20,3,60.0,1
CUST-0007,BrightPath,1,Month-to-month,40.26,39.83,76,Electronic check,DSL,No,No,11,4,85.0,1
CUST-0008,Quantum SaaS,48,Month-to-month,61.86,2775.16,115,Electronic check,Fiber optic,No,No,13,0,67.0,1
CUST-0009,BlueShift,22,Month-to-month,66.39,1328.49,175,Bank transfer,DSL,No,Yes,14,0,79.0,0
CUST-0010,TechVibe,29,One year,92.35,2542.35,459,Bank transfer,No,No,No,10,3,70.0,0
CUST-0011,DataFlow Inc,1,Two year,22.69,21.07,23,Electronic check,No,No,No,14,2,70.0,1
CUST-0012,FusionHub,72,Month-to-month,103.24,7519.43,185,Mailed check,Fiber optic,No internet,No,18,1,73.0,1
CUST-0013,BlueShift,42,Month-to-month,61.05,2402.53,107,Credit card,No,Yes,No,18,1,62.0,1
CUST-0014,Apex Digital,5,Month-to-month,54.33,246.6,210,Mailed check,Fiber optic,Yes,No,19,1,64.0,0
CUST-0015,Skyward Tech,4,Two year,39.7,144.06,96,Mailed check,Fiber optic,No,No,11,3,49.0,0
CUST-0016,Streamline Co,4,One year,23.63,100.79,67,Mailed check,DSL,No internet,No,16,1,59.0,0
CUST-0017,Acme Corp,8,Month-to-month,85.58,697.16,136,Electronic check,Fiber optic,No,Yes,14,0,24.0,1
CUST-0018,NetPulse,17,Two year,66.83,1103.86,175,Mailed check,Fiber optic,Yes,No internet,20,1,80.0,0
CUST-0019,Prism Analytics,13,Two year,32.75,459.32,46,Mailed check,Fiber optic,No,Yes,14,5,40.0,0
CUST-0020,BlueShift,8,Two year,32.62,238.53,102,Electronic check,Fiber optic,No,Yes,11,1,63.0,0
CUST-0021,BrightPath,22,Two year,56.61,1365.06,79,Bank transfer,No,Yes,No,15,0,70.0,0
CUST-0022,DataFlow Inc,3,Month-to-month,106.73,327.64,444,Mailed check,DSL,No,No,19,3,24.0,0
